Id	Name
ab	abkhasisk
af	afrikaans
ak	akan
am	amharisk
an	aragonsk
ar	arabisk (najd)
as	assamesisk
ay	aymara
az	aserbajdsjansk
ba	basjkirsk
be	kviterussisk
bg	bulgarsk
bi	bislama
bm	bambara
bn	bengali
bo	tibetansk
br	bretonsk
bs	bosnisk
ce	tsjetsjensk
co	korsikansk
cv	tsjuvasjisk
cy	walisisk
dz	dzongkha
ee	ewe
eo	esperanto
et	estisk
eu	baskisk
fa	persisk
fj	fijiansk
fo	færøysk
ga	irsk
gd	skotsk-gælisk
gl	galisisk
gn	guarani
gu	gujarati
gv	mansk
ha	hausa
ht	haitisk
hy	armensk
ia	interlingua
ig	igbo
io	ido
is	islandsk
iu	inuktitut
jv	javanesisk
ka	georgisk
ki	kikuyu
kj	kuanyama
kk	kasakhisk
kl	grønlandsk
km	khmer
kn	kannada
ks	kasjmiri
kv	komi
kw	kornisk
ky	kirgisisk
la	latin
lb	luxemburgsk
lg	ganda
li	limburgsk
ln	lingala
lo	laotisk
lt	litauisk
lu	luba-katanga
lv	latvisk/lettisk
mg	gassisk
mh	marshallesisk
mi	maori
mk	makedonsk
ml	malayalam
mn	mongolsk
mr	marathi
mt	maltesisk
my	burmesisk
nd	nord-ndebele
ne	nepali
ng	ndonga
nn	nynorsk
nr	sør-ndebele
nv	navajo
ny	nyanja
oc	oksitansk
om	oromo
os	ossetisk
pa	panjabi
ps	pashto
qu	quechua
rn	rundi
rw	kinyarwanda
sa	sanskrit
sc	sardisk
sd	sindhi
se	nordsamisk
sg	sango
si	singalesisk
sl	slovensk
sm	samoansk
sn	shona
so	somali
sq	albansk
sr	serbisk
ss	swati
st	sør-sotho
su	sundanesisk
sw	swahili
ta	tamil
te	telugu
tg	tadsjikisk
ti	tigrinja
tk	turkmensk
tn	setswana
to	tongansk
ts	tsonga
tt	tatarisk
tw	twi
ty	tahitisk
ug	uigurisk
ur	urdu
uz	usbekisk
wa	vallonsk
wo	wolof
xh	xhosa

ace	achinesisk
ada	adangme
ady	adygeisk
agq	aghem
ain	ainu
ale	aleutisk
anp	angika
apw	apache, vestleg
arp	arapaho
rup	aromansk
ast	asturisk
asa	asu
awa	avadhi
ava	avarisk
ksf	bafia
ban	balinesisk
bas	basaa
bem	bemba
bez	bena
bho	bhoipuri
bin	bini
byn	blin
brx	bodo
bug	buginesisk
frc	cajunfransk
ceb	cebuansk
ch	chamorro
chr	cherokesisk
chy	cheyenne
cho	choctaw
chk	chuukesisk
mus	creek
dak	dakota
dar	dargwa
dzg	dazaga
dv	divehi
doi	dogri
dgr	dogrib
dua	duala
efi	efik
eka	ekajuk
myv	erzia
ewo	ewondo
fat	fanti
fil	filipino
fon	fon
fur	friuliansk
fuc	fulfulde (eller ff?)
xx	ga
xx	geez
xx	gorontalo
xx	gusii
xx	gwich'in
xx	hawaiisk
xx	herero
xx	hiligaynon
xx	hupa
xx	høgsorbisk
xx	iban
xx	ibibio
xx	iloko
xx	ingusjisk
xx	jju
xx	jola-fornyi
xx	kabardisk
xx	kabylsk
xx	kachin
xx	kako
xx	kalenjin
xx	kalmukkisk
xx	kamba
xx	kantonesisk
xx	kanuri
xx	kappverdisk
xx	karatsjajbalkarsk
xx	karelsk
xx	khasi
xx	kiembu
xx	kiga
xx	kimbundu
xx	kiribatisk
xx	klingon
xx	komorisk
xx	konkani
xx	koro
xx	koyra chiini
xx	koyraboro senni
xx	kpelle
xx	kumykisk
xx	kurdisk (sorani)
xx	kurukh
xx	kvasio
xx	kølnsk
xx	ladinsk
xx	lakota
xx	langi
xx	lesgisk
xx	lojban
xx	louisianakreolsk
xx	lozi
xx	luba-lulua
xx	luhya
xx	lunda
xx	luo
xx	lågsorbisk
xx	machame
xx	maduresisk
xx	magahi
xx	maithili
xx	makasar
xx	makhuwa-meetto
xx	makonde
xx	manipuri
xx	mapudungun
xx	mari
xx	masai
xx	mauritisk-kreolsk
xx	mende
xx	meru
xx	meta'
xx	micmac
xx	minangkabau
xx	mirandesisk
xx	mizo
xx	mohawk
xx	moksja
xx	mossi
xx	mundang
xx	n'ko
xx	nama
xx	napolitansk
xx	nauru
xx	newari
xx	ngambay
xx	ngiemboon
xx	ngomba
xx	nias
xx	niueansk
xx	nogaisk
xx	nord-sotho
xx	nuer
xx	nyankole
xx	odia
xx	palauisk
xx	pampanga
xx	pangasinan
xx	papiamento
xx	rapanui
xx	rarotongansk
xx	retoromansk
xx	rombo
xx	rwa
xx	sakha
xx	samburu
xx	sandawe
xx	sangu
xx	santali
xx	sena
xx	shambala
xx	shan
xx	shanghaikinesisk
xx	sichuan-yi
xx	siciliansk
xx	siksika
xx	skotsk
xx	soga
xx	soninke
xx	sranan
xx	sukuma
xx	sveitsertysk
xx	syriakisk
xx	søraltaisk
xx	tachelhit
xx	taita
xx	tamazight
xx	taroko
xx	tasawaq
xx	temne
xx	teso
xx	tetum
xx	tigré
xx	tok pisin
xx	tumbuka
xx	tuvalsk
xx	tuvinsk
xx	tyap
xx	udmurtisk
xx	umbundu
xx	vai
xx	venda
xx	vunjo
xx	waray-waray
xx	wolaytta
xx	yangben
xx	yemba
xx	zarma
xx	zazaisk
xx	zuni
yi	jiddisk
yo	joruba
zu	zulu
